seed,d,rank,qk_activation_aware_error,qk_raw_svd_error,ov_activation_aware_error,ov_raw_svd_error,mlp_cur_keep_error,mlp_low_energy_control_error,qk_rank,ov_rank,mlp_channels
11,12,4,0.07875713788534745,0.2133191002203284,0.15742259459153962,0.2818056831297575,0.2346444445227889,0.9678903164473902,4,4,"8,9,11,10"
23,12,4,0.13580161625019657,0.3999585270355052,0.08655196912452685,0.18374574369367788,0.21606848208293003,0.9712632115229141,4,4,"11,9,8,10"
47,12,4,0.1039078659224767,0.18128882844798067,0.14521431395588238,0.33718927176522395,0.273672162766443,0.9775979491371666,4,4,"8,11,7,10"
89,12,4,0.1042159910610555,0.3025127999919748,0.15270167192043177,0.36130172486214795,0.38553534313936416,0.9392588984228465,4,4,"7,11,10,8"
131,12,4,0.09393667278131237,0.2956602745600876,0.13864473683782338,0.266332034867791,0.36419108307814485,0.9339172404100098,4,4,"9,8,10,11"
